"";"cab3";"q4";"q120_11";"q120_12";"q120_13";"q120_14";"q120_15";"q120_16";"q120_17";"q120_18";"q120_19";"q120_21";"q120_22";"q120_23";"q120_24";"q120_25";"q120_26";"q120_27";"q120_28";"q120_29";"q120_31";"q120_32";"q120_33";"q120_34";"q120_35";"q120_36";"q120_37";"q120_38";"q120_39";"q120_41";"q120_42";"q120_43";"q120_44";"q120_45";"q120_46";"q120_47";"q120_48";"q120_49";"q120_51";"q120_52";"q120_53";"q120_54";"q120_55";"q120_56";"q120_57";"q120_58";"q120_59";"q120_61";"q120_62";"q120_63";"q120_64";"q120_65";"q120_66";"q120_67";"q120_68";"q120_69";"chance_nova_ocorrencia";"q119_1";"q119_2";"q119_3";"q119_4";"sexo";"renda";"renda_casa";"area_risco";"maior_intrucao";"n_enchentes";"maior_instrucao";"viz"
"389";2210;"Jardim Perola";1;1;5;1;1;1;1;1;1;5;1;5;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;5;1;5;1;1;1;1;5;5;1;1;5;1;1;1;1;1;1;1;1;5;5;1;1;1;1;1;1;5;5;5;5;1;6;6;0;4;0;"media";28
"390";2211;"Jardim Perola";1;1;5;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;5;5;1;1;5;5;1;1;1;5;1;1;1;1;5;1;1;1;1;1;1;5;5;5;5;1;1;1;0;3;9999;"media";28
"391";2212;"Jardim Perola";1;1;5;5;1;5;1;5;5;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;1;5;1;1;5;1;5;1;5;5;1;1;5;5;1;5;5;5;1;1;1;1;5;1;5;1;5;1;1;5;5;5;5;2;1;1;0;4;1;"media";28
"392";2213;"Jardim Perola";1;1;5;1;1;1;1;1;1;5;5;1;1;1;1;1;1;5;1;1;5;1;1;1;1;1;1;5;5;5;1;1;1;1;5;5;1;1;5;1;1;1;1;5;1;1;5;5;1;1;1;1;1;5;1;5;5;5;5;2;1;1;0;4;0;"media";28
"393";2214;"Jardim Perola";1;1;5;1;5;5;1;5;1;5;1;1;1;1;1;1;1;5;1;1;1;1;1;5;1;1;1;1;5;5;1;1;5;5;1;5;1;1;1;1;5;5;1;1;1;1;1;1;1;5;5;1;1;1;2;5;5;5;5;2;5;5;0;3;0;"media";28
"394";2215;"Jardim Perola";1;1;5;5;1;5;1;1;1;5;1;5;5;1;1;1;1;5;5;1;5;1;1;5;1;1;1;5;5;5;5;5;5;1;5;5;1;5;5;5;5;5;1;1;1;5;1;5;5;1;5;1;1;1;4;4;4;4;4;1;5;5;0;4;0;"media";28
"395";2216;"Jardim Perola";1;1;5;5;1;1;1;1;1;5;5;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;5;5;5;5;5;1;5;5;5;1;1;5;5;5;1;1;1;1;5;1;5;5;5;1;1;1;5;2;4;4;4;4;1;5;5;0;3;4;"media";28
"396";2217;"Jardim Perola";1;1;5;1;5;5;1;1;1;5;5;5;1;5;5;1;1;5;1;1;5;1;5;5;1;1;1;5;5;5;1;5;5;1;5;5;5;5;5;1;5;5;1;5;1;5;5;5;5;5;5;1;1;1;2;5;5;5;5;1;5;5;0;4;0;"media";28
"397";2218;"Jardim Perola";1;1;5;5;5;1;1;5;1;5;1;5;1;1;1;1;1;5;1;1;5;1;5;1;1;1;1;5;5;5;5;1;5;1;5;5;5;5;5;5;5;5;1;5;1;1;5;5;5;1;5;5;5;1;1;5;5;5;5;2;6;6;0;3;0;"media";28
"398";2219;"Jardim Perola";5;1;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;1;1;5;1;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;1;5;5;5;5;5;5;5;3;5;1;5;5;5;5;2;4;4;0;4;0;"media";28
"399";2220;"Jardim Perola";1;1;5;1;5;4;1;1;1;5;1;1;1;1;1;1;1;5;1;1;5;1;5;1;1;1;1;5;1;5;5;5;5;1;1;5;1;1;5;5;5;5;1;1;1;1;5;5;5;5;5;1;1;1;2;5;5;5;5;1;6;6;0;4;0;"media";28
"400";2224;"Jardim Perola";1;1;5;1;1;1;1;1;1;5;1;1;1;1;1;5;5;5;1;1;5;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;1;1;5;1;1;5;1;1;1;1;1;5;5;1;1;1;5;1;1;5;5;5;5;1;6;6;0;4;0;"media";28
"401";2226;"Jardim Perola";1;1;5;5;5;5;1;1;1;5;5;5;5;5;5;1;1;5;1;1;5;5;5;5;1;1;1;1;1;5;5;5;1;5;5;1;5;5;5;5;5;1;1;1;1;1;1;5;5;5;5;1;1;1;2;5;5;5;5;1;5;5;0;4;0;"media";28
"402";2227;"Jardim Perola";1;1;5;5;5;5;1;1;1;5;5;5;5;1;1;1;1;5;5;5;5;1;5;5;1;1;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;1;5;1;5;1;5;5;1;5;1;1;1;1;5;5;5;5;2;1;1;0;4;0;"media";28
"403";2228;"Jardim Perola";1;1;5;5;1;5;1;1;1;5;1;5;1;1;1;1;1;5;1;5;5;1;1;1;1;1;1;5;5;5;5;1;5;1;5;5;1;5;5;5;1;5;1;5;1;1;5;5;5;1;5;1;1;1;1;5;5;5;5;1;5;5;0;5;0;"alta";28
"404";2229;"Jardim Perola";1;1;5;5;5;5;1;1;1;5;5;5;5;5;5;1;5;5;1;1;5;5;5;5;5;1;1;1;1;5;5;5;1;1;5;5;5;5;5;5;5;1;5;5;1;5;5;5;5;5;5;5;5;5;2;5;5;5;5;2;6;6;0;4;0;"media";28
"405";2082;"Jardim Primavera";1;1;3;5;1;5;5;5;1;5;5;3;1;1;5;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;1;1;5;1;1;1;5;5;5;5;5;1;5;5;5;5;1;1;1;1;5;2;5;2;4;5;1;5;5;0;2;0;"baixa";29
"406";2085;"Jardim Primavera";5;1;1;5;1;5;5;5;5;5;5;5;5;5;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;1;1;5;1;1;1;1;5;1;1;5;5;5;1;5;1;5;5;1;1;1;1;1;2;5;5;0;4;2;"media";29
"407";2284;"Jardim Primavera";5;2;2;4;4;2;1;4;5;5;5;2;1;1;1;1;5;5;5;3;3;4;4;4;1;3;5;5;5;5;5;1;1;1;5;5;5;3;3;5;5;5;1;5;5;5;5;5;5;5;5;1;5;1;2;4;5;5;5;2;1;1;0;4;0;"media";29
"408";2285;"Jardim Primavera";5;5;5;1;1;1;1;5;4;5;5;5;2;2;1;2;5;5;5;1;1;2;2;2;1;4;4;5;5;5;1;2;1;1;4;4;2;2;2;4;4;4;2;1;1;2;2;2;4;4;4;2;1;1;2;4;4;5;2;1;5;5;0;4;0;"media";29
"409";2314;"Jardim Primavera";4;3;5;5;3;3;4;3;4;5;5;5;2;3;3;3;4;5;3;3;4;2;3;3;4;3;4;5;5;4;1;3;3;4;3;5;4;5;4;5;4;4;3;4;3;5;5;4;5;3;2;3;4;5;2;1;1;1;1;2;1;1;0;3;0;"media";29
"410";2315;"Jardim Primavera";3;4;4;5;4;4;4;4;4;4;4;4;2;4;3;4;5;3;3;3;4;1;2;2;3;3;3;3;4;5;1;4;2;4;5;4;4;3;5;5;3;3;3;4;4;4;4;4;5;3;2;3;3;4;4;4;4;4;4;1;6;6;0;4;0;"media";29
"411";2317;"Jardim Primavera";1;1;3;1;3;1;1;1;1;2;2;2;1;3;1;2;5;2;1;1;2;1;3;1;1;1;1;3;2;5;1;2;1;1;3;3;3;2;2;5;5;5;2;5;2;5;5;2;5;4;3;3;2;2;4;5;5;5;5;2;4;4;0;4;2;"media";29
"412";12;"Jardim Vera Cruz";1;1;1;4;5;1;4;5;1;5;5;5;1;1;1;1;1;5;1;1;1;1;5;5;5;5;1;5;5;5;1;1;1;1;5;5;1;1;1;5;5;5;5;5;1;1;1;1;5;1;1;5;1;1;1;2;5;5;5;2;1;1;0;3;2;"media";30
"413";115;"Jardim Vera Cruz";1;1;1;5;1;5;5;5;1;5;1;5;3;5;5;5;5;5;3;1;1;5;5;5;5;5;1;5;1;5;5;5;5;5;5;5;3;1;1;5;5;5;5;5;1;5;5;1;4;3;5;5;5;5;1;5;5;5;5;2;4;4;0;4;0;"media";30
"414";119;"Jardim Vera Cruz";3;1;5;2;1;1;5;5;4;5;5;5;1;1;5;1;5;1;5;5;5;1;1;5;1;5;1;5;5;5;1;1;5;1;5;5;4;1;1;1;1;5;2;5;5;5;1;1;5;1;5;5;1;1;1;5;5;1;1;1;5;5;0;3;0;"media";30
"415";169;"Jardim Vera Cruz";1;1;5;3;1;5;1;5;5;5;5;5;1;2;1;1;2;5;5;5;5;1;1;5;1;1;5;5;5;5;1;1;5;1;5;5;1;1;1;1;1;5;1;5;1;5;5;5;1;1;5;1;1;5;1;5;5;5;5;1;4;4;0;2;0;"baixa";30
"416";170;"Jardim Vera Cruz";5;4;2;3;1;5;1;1;5;5;5;5;3;1;1;1;1;5;5;5;5;1;1;1;3;1;5;5;5;5;1;1;5;1;1;4;5;5;5;1;1;5;1;1;5;5;5;5;3;5;1;1;1;5;1;5;5;5;5;2;4;4;0;2;0;"baixa";30
"417";191;"Jardim Vera Cruz";5;5;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;5;5;5;1;1;1;1;1;5;5;5;5;1;4;1;1;1;5;1;1;1;5;5;5;1;1;5;1;5;1;3;1;1;1;1;5;1;5;1;1;1;1;4;4;0;4;0;"media";30
